question_id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,r1,r2,s,ground_truth
18e70308-3782-4c8c-92c2-9f842fe0fc1a,54.845203,59.271435,44.055744,59.602943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.845203,59.271435,44.055744,59.602943,1.0,0,0.6931471805599453,109.69041,2
18e70308-3782-4c8c-92c2-9f842fe0fc1a,14.937079,5.0184827,4.8074207,5.4068832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.937079,5.0184827,4.8074207,5.4068832,0.37777779,1,0.4054651081081644,29.874159,0
18e70308-3782-4c8c-92c2-9f842fe0fc1a,13.395593,5.5468144,4.9588623,5.795126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.395593,5.5468144,4.9588623,5.795126,0.35555556,2,0.2876820724517809,26.791185,0
18e70308-3782-4c8c-92c2-9f842fe0fc1a,11.718173,4.262278,0.29916176,4.262278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.718173,4.262278,0.29916176,4.262278,0.44444445,3,0.22314355131420976,23.436346,0
18e70308-3782-4c8c-92c2-9f842fe0fc1a,11.587304,1.2929827,1.0228138,1.2929827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.587304,1.2929827,1.0228138,1.2929827,0.37777779,4,0.18232155679395462,23.174608,0
18e70308-3782-4c8c-92c2-9f842fe0fc1a,10.4543705,0.65686274,0.27054,1.1668841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4543705,0.65686274,0.27054,1.1668841,0.35555556,5,0.1541506798272583,20.908741,0
18e70308-3782-4c8c-92c2-9f842fe0fc1a,10.062743,3.5288482,0.0,3.8630424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.062743,3.5288482,0.0,3.8630424,0.2,6,0.13353139262452263,20.125486,0
18e70308-3782-4c8c-92c2-9f842fe0fc1a,9.9330635,1.051746,0.0,1.1389997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9330635,1.051746,0.0,1.1389997,0.33333334,7,0.11778303565638346,19.866127,0
18e70308-3782-4c8c-92c2-9f842fe0fc1a,9.818021,2.2111666,1.3507801,2.2111666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.818021,2.2111666,1.3507801,2.2111666,0.35555556,8,0.1053605156578263,19.636042,0
18e70308-3782-4c8c-92c2-9f842fe0fc1a,9.714166,2.3988461,0.03792576,2.4959776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.714166,2.3988461,0.03792576,2.4959776,0.26666668,9,0.09531017980432487,19.428331,0
