"""<p>What does ""backprop"" mean? I've Googled it, but it's showing backpropagation.</p><br><br><p>Is the ""backprop"" term basically the same as ""backpropagation"" or does it have a different meaning?</p><br>""",ai
"""<p>Does increasing the noise in data help to improve the learning ability of a network? Does it make any difference or does it depend on the problem being solved? How is it affect the generalization process overall?</p><br>""",ai
"""<p>When you're writing your algorithm, how do you know how many neurons you need per single layer? Are there any methods for finding the optimal number of them, or is it a rule of thumb?</p><br>""",ai
"""<p>I have a LEGO Mindstorms EV3 and I'm wondering if there's any way I could start coding the bot in Python rather than the default drag-and-drop system. Is a Mindstorm considered AI?</p><br><br><p>Is this possible?</p><br><br><hr><br><br><p>My goal is to write a basic walking program in Python. The bot is the EV3RSTORM. I searched and found <a href=""http://bitsandbricks.no/2014/01/19/getting-started-with-python-on-ev3/"" rel=""nofollow"">this</a>, but don't understand it. </p><br>""",ai
"""<p>The intelligent agent definition of intelligence states that an agent is intelligent if it acts so to maximize the expected value of a performance measure based on past experience and knowledge. (paraphrased from <a href=""http://en.wikipedia.org/wiki/Philosophy_of_artificial_intelligence#Intelligent_agent_definition"" rel=""nofollow"">Wikipedia</a>)</p><br><br><p>Does this mean that humans are not intelligent? I think we all make mistakes that imply that we are not maximizing the expected value of a performance measure.</p><br>""",ai
"""<p>This quote by Stephen Hawking has been in headlines for quite some time:</p><br><br><blockquote><br>  <p>Artificial Intelligence could wipe out humanity when it gets too clever as humans will be like ants.</p><br></blockquote><br><br><p>Why does he say this? To put it simply in layman terms: what are the possible threats from AI? If we know that AI is so dangerous why are we still promoting it? Why is it not banned?</p><br><br><p>What are the adverse consequences of the so called <a href=""https://en.wikipedia.org/wiki/Technological_singularity"" rel=""nofollow"">Technological Singularity</a>? </p><br>""",ai
"""<p>I'm new to A.I. and I'd like to know in simple words, what is the fuzzy logic concept? How does it help, and when is it used?</p><br>""",ai
"""<p>The <a href=""https://en.wikipedia.org/wiki/Turing_test"">Turing Test</a> was the first test of artificial intelligence and is now a bit outdated. The <a href=""https://en.wikipedia.org/wiki/Turing_test#Total_Turing_test"">Total Turing Test</a> aims to be a more modern test which requires a much more sophisticated system. What techniques can we use to identify an artificial intelligence (weak AI) and an <a href=""https://en.wikipedia.org/wiki/Artificial_general_intelligence"">artificial general intelligence</a> (strong AI)?</p><br>""",ai
"""<p>What is the ""early stopping"" and what are the advantages using this method? How does it help exactly.</p><br>""",ai
"""<p>I've heard the idea of the technological singularity, what is it and how does it relate to Artificial Intelligence?  Is this the theoretical point where Artificial Intelligence machines have progressed to the point where they grow and learn on their own beyond what humans can do and their growth takes off?  How would we know when we reach this point?</p><br>""",ai
"""<p>I'm worry that my network become too complex. I don't want to end up with half of the network does nothing, but just take space and resources.</p><br><br><p>So, what are the techniques of detecting and preventing overfitting to avoid such problem?</p><br>""",ai
"""<p>I've seen emotional intelligence defined as the capacity to be aware of, control, and express one's emotions, and to handle interpersonal relationships judiciously and empathetically.  What are some strategies for artificial intelligence to begin to tackle this problem and develop emotional intelligence for computers?  Are there examples where this is already happening to a degree today?  For example, wouldn't a computer that passes a Turing test necessarily express emotional intelligence or it would be seen as an obvious computer?  Perhaps that is why early programs that pass the test represented young people, who presumably have lower emotional intelligence.</p><br>""",ai
"""<p>Since human intelligence presumably is a function of a natural genetic algorithm in nature, is using a genetic algorithm in a computer an example of artificial intelligence?  If not, how do they differ?  Or perhaps some are and some are not expressing artificial intelligence depending upon the scale of the algorithm and what it evolves into?</p><br>""",ai
"""<p>These two terms seem to be related, especially in their application in computer science and software engineering.  Is one a subset of another?  Is one a tool used to build a system for the other?  What are their differences and why are they significant?</p><br>""",ai
"""<p>What aspects of quantum computers, if any, can help to further develop Artificial Intelligence?</p><br>""",ai
"""<p>I believe a Markov chain is a sequence of events where each subsequent event depends probabilistically on the current event.  What are examples of the application of a Markov chain and can it be used to create artificial intelligence?  Would a genetic algorithm be an example of a Markov chain since each generation depends upon the state of the prior generation?</p><br>""",ai
"""<p>What purpose does the ""dropout"" method serve and how does it improve the overall performance of the neural network?</p><br>""",ai
"""<p>Can an AI program have an IQ?</p><br><br><p>In other words, can the IQ of an AI program be measured?</p><br><br><p>Like how humans can do an IQ test.</p><br>""",ai
"""<p>Why anybody would want to use the ""hidden layers""? How they enhance the learning ability of the network in comparison to the network which doesn't have them (linear models)?</p><br>""",ai
"""<p>When did research into Artificial Intelligence first begin?  Was it called Artificial Intelligence then or was there another name?</p><br>""",ai
"""<p>How would you estimate the generalisation error? What are the methods of achieving this?</p><br>""",ai
"""<p>I've implemented <a href=""https://en.wikipedia.org/wiki/Reinforcement_learning"" rel=""nofollow"">the reinforcement learning alogrithm</a> for an agent to play <a href=""https://github.com/admonkey/snappybird"" rel=""nofollow"">snappy bird</a> (a shameless cheap ripoff of flappy bird) utilizing a q-table for storing the history for future lookups. It works and eventually achieves perfect convergence after enough training.</p><br><br><p>Is it possible to implement a neural network to do function approximation in order to accomplish the purpose of the q-table? Obviously storage is a concern with the q-table, but it doesn't seem to ever train with the neural net alone. Perhaps training the nnet on an existing q-table would work, but I would like to not use a q-table at all if possible.</p><br>""",ai
"""<p>I read that in the spring of 2016 a computer <a href=""https://en.wikipedia.org/wiki/Computer_Go"" rel=""nofollow"">Go program</a> was finally able to beat a professional human for the first time.  Now that this milestone has been reached, does that represent a significant advance in artificial intelligence techniques or was it just a matter of even more processing power being applied to the problem?  What are some of the methods used to program the successful Go playing program, and are those methods considered to be artificial intelligence?</p><br>""",ai
"""<p>Who first coined the term Artificial Intelligence, is there a published research paper which is the first to use that term?</p><br>""",ai
"""<p>I've read that the most of the problems can be solved with 1-2 hidden layers.</p><br><br><p>How do you know you need more than 2? For what kind of problems you would need them (as example)?</p><br>""",ai
"""<p>What were the first areas of research into Artificial Intelligence and what were some early successes?  More recently we've had:</p><br><br><ol><br><li>Beating a human at the game of chess</li><br><li>Convincing a human that a person was conversing with them (passing the Turing test)</li><br><li>Beating a human at Jeopardy game show</li><br><li>Beating a human at the game of go.</li><br></ol><br><br><p>Were there milestones that were considered major in the field before the 1990s?</p><br>""",ai
"""<p>Why somebody would use SAT solvers (<a href=""https://en.wikipedia.org/wiki/Boolean_satisfiability_problem"" rel=""nofollow"">Boolean satisfiability problem</a>) to solve their real world problems?</p><br><br><p>Are there any examples of the real uses of this model?</p><br>""",ai
"""<p>What designs for genetic algorithms are there, if they are classified differently and/or have different names, that leverage models for epigenetics in evolution? What are the pros/cons of the designs? Are there vast insufficiencies or wide-open questions about their usefulness? </p><br>""",ai
"""<p>Can a Convolutional Neural Network be used for pattern recognition in a problem domain where there are no pre-existing images, say by representing abstract data graphically? Would that always be less efficient?</p><br><br><p><a href=""https://youtu.be/py5byOOHZM8?t=815"">This developer</a> says current development could go further but not if there's a limit outside image recognition. </p><br>""",ai
"""<p>I've heard the terms strong-AI and weak-AI used.  Are these well defined terms or subjective ones?  How are they generally defined?</p><br>""",ai
"""<p>As AI gains capabilities, and becomes more prevalent in society, our legal system will encounter questions it has not encountered before.  For example, if a self-driving car is involved in an accident while being controlled by the AI, who is at fault?  The ""driver"" (who's really just a passenger), the programmer(s) who made the AI, or the AI itself?</p><br><br><p>So, what's on the cutting edge in terms of these kinds of issues at the intersection of law and artificial intelligence?</p><br>""",ai
"""<p>I know that language of <strong><code>Lisp</code></strong> was used early on when working on artificial intelligence problems.  Is it still being used today for significant work?  If not, is there a new language that has taken its place as the most common one being used for work in AI today?</p><br>""",ai
"""<p>What are the specific requirements of the Turing Test?</p><br><br><ul><br><li>What requirements if any must the evaluator fulfill in order to be qualified to give the test?</li><br><li>Must there always be two participants to the conversation (one human and one computer) or can there be more</li><br><li>Are placebo tests (where there is not actually a computer involbed) allowed or encouraged?</li><br><li>Can there be multiple evaluators? If so does the decision need to be unanimous among all evaluators in order for the machine to have passed the test?</li><br></ul><br>""",ai
"""<p>I believe that statistical AI uses inductive thought processes.  For example, deducing a trend from a pattern.  What are some examples of successfully applying statistical AI to real world problems.</p><br>""",ai
"""<p>How do the basic components <a href=""https://en.wikipedia.org/wiki/Optimality_theory"" rel=""nofollow"">optimality theory</a> apply to artificial intelligence?</p><br><br><p>How is optimality theory related to neural network research?</p><br>""",ai
"""<p>Some programs do exhaustive searches for a solution while others do heuristic searches.  For example, in chess, the search for the best next move tends to be more exhaustive in nature whereas in go, the search for the best next move tends to be more heuristic in nature due to the much larger search space.</p><br><br><p>Is the technique of brute force exhaustive searching for a good answer considered to be AI or is it generally required that heuristic algorithms be used before being deemed AI?  If so, is the chess playing computer beating a human professional seen as a meaningful milestone?</p><br>""",ai
"""<p>How is a neural network having the ""deep"" adjective actually distinguished from other similar networks?</p><br>""",ai
