question_id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,r1,r2,s,ground_truth
fac48258-f7cd-4599-8732-ccae8c63a578,74.21763,66.97012,44.921738,67.72299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.21763,66.97012,44.921738,67.72299,0.9833334,0,0.6931471805599453,148.43526,0
fac48258-f7cd-4599-8732-ccae8c63a578,72.91585,65.98887,45.953037,66.69011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.91585,65.98887,45.953037,66.69011,0.9833334,1,0.4054651081081644,145.8317,2
fac48258-f7cd-4599-8732-ccae8c63a578,69.77073,61.16393,40.50054,61.463306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.77073,61.16393,40.50054,61.463306,0.9833334,2,0.2876820724517809,139.54146,3
fac48258-f7cd-4599-8732-ccae8c63a578,16.861511,1.9911567,0.0,1.9911567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.861511,1.9911567,0.0,1.9911567,0.40000004,3,0.22314355131420976,33.723022,0
fac48258-f7cd-4599-8732-ccae8c63a578,13.94709,3.2923582,0.18696445,3.3958058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.94709,3.2923582,0.18696445,3.3958058,0.26666668,4,0.18232155679395462,27.89418,0
fac48258-f7cd-4599-8732-ccae8c63a578,13.708965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.708965,0.0,0.0,0.0,0.35000002,5,0.1541506798272583,27.41793,0
fac48258-f7cd-4599-8732-ccae8c63a578,13.622497,0.9299897,0.0,0.9299897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.622497,0.9299897,0.0,0.9299897,0.40000004,6,0.13353139262452263,27.244993,0
fac48258-f7cd-4599-8732-ccae8c63a578,12.871222,0.3079185,0.56496215,0.36499766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.871222,0.3079185,0.56496215,0.36499766,0.25,7,0.11778303565638346,25.742443,0
fac48258-f7cd-4599-8732-ccae8c63a578,12.6714325,0.28029403,1.1544678,0.42912072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6714325,0.28029403,1.1544678,0.42912072,0.3166667,8,0.1053605156578263,25.342865,0
fac48258-f7cd-4599-8732-ccae8c63a578,12.114091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.114091,0.0,0.0,0.0,0.4166667,9,0.09531017980432487,24.228182,0
8b9dd176-52f4-49d0-951e-8bf68444b80e,46.992207,41.694843,35.845547,43.4143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.992207,41.694843,35.845547,43.4143,0.94736844,0,0.6931471805599453,93.98441,0
8b9dd176-52f4-49d0-951e-8bf68444b80e,42.41678,35.21822,33.292793,36.62648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.41678,35.21822,33.292793,36.62648,0.94736844,1,0.4054651081081644,84.83356,0
